('16', '10G-EPON')
('7426', 'Computational linguistics')
('7427', 'Computational magnetohydrodynamics')
('7434', 'Computational overhead')
('7435', 'Computational particle physics')
('7436', 'Computational photography')
('7438', 'Computational physics')
('7447', 'Computational theory of mind')
('7451', 'Computational trust')
('7456', 'Computed Tomography Laser Mammography')
('7465', 'Computer-aided maintenance')
('7484', 'Computer Aided Verification')
('7485', 'Computer Arts Society')
('7494', 'Computer Fraud and Abuse Act')
('7503', 'Computer Misuse Act 1990')
('7504', 'Computer Music Center')
('7506', 'Computer Networks and Internet Technology')
('7539', 'Computer crime')
('7543', 'Computer ethics')
('7554', 'Computer graphics lighting')
('7555', 'Computer insecurity')
('7569', 'Computer port (hardware)')
('7570', 'Computer program')
('7572', 'Computer programming in the punched card era')
('7576', 'Computer science in sport')
('7586', 'Computer software')
('7590', 'Computer surveillance')
('7598', 'Computerized Speech Lab')
('7605', 'Computervision')
('7619', 'Computron tube')
('7623', 'ConTeXt')
('7624', 'Conation')
('7640', 'Concept drift')
('7649', 'Conceptual graph')
('7653', 'Conceptual model (computer science)')
('7654', 'Conceptual schema')
('7673', 'Concurrent Haskell')
('7674', 'Concurrent ML')
('7679', 'Concurrent constraint logic programming')
('7693', 'Conditional convergence')
('7694', 'Conditional entropy')
('7711', 'Conference Room Pilot')
('7712', 'Conference on Automated Deduction')
('7715', 'Conference on Embedded Networked Sensor Systems')
('7716', 'Conference on Human Factors in Computing Systems')
('7720', 'Confidence interval')
('7731', 'Configuration state function')
('7733', 'Configware/Software-Co-Compilation')
('7739', 'Confluence (abstract rewriting)')
('7741', 'Conformalizer')
('7760', 'Conjugate diameters')
('7781', 'Connection (algebraic framework)')
('7826', 'Consistent heuristic')
('7827', 'Console application')
('7830', 'Consolidation ratio')
('7840', 'Constant interface')
('7845', 'Constrained Delaunay triangulation')
('7850', 'Constraint (mathematics)')
('7859', 'Constraint learning')
('7863', 'Constraint satisfaction')
('7864', 'Constraint satisfaction dual problem')
('7870', 'Constructible function')
('7875', 'Construction Industry Council')
('7881', 'Construction collaboration technology')
('7885', 'Construction industry of the United Kingdom')
('7895', 'Constructive alignment')
('7909', 'Consumer privacy')
('7919', 'Container (data structure)')
('7931', 'Content Scramble System')
('7940', 'Content management')
('7956', 'Context MBA')
('7976', 'Continued fraction factorization')
('7994', 'Continuous modelling')
('7996', 'Continuous optimization')
('8009', 'Contract management')
('8017', 'Contraposition')
('8019', 'Contrast-to-noise ratio')
('8027', 'Control-Feedback-Abort Loop')
('8036', 'Control and Indicating Equipment')
('8038', 'Control banding')
('8049', 'Control panel (Mac OS)')
('8062', 'Controlled natural language')
('8080', 'Convergent Technologies Operating System')
('8083', 'Conversational Programming System')
('8087', 'Conversion between quaternions and Euler angles')
('8103', 'Convolution power')
('8109', 'Cooked raw')
('8113', 'Cool Water (perfume)')
('8122', 'Cooperative storage cloud')
('8123', 'Coordinate-free')
('8133', 'Copperplate script')
('8151', 'Coq')
('8155', 'Coral Consortium')
('8182', 'Core dump')
('8214', 'Corporate governance of information technology')
('8225', 'Correlated equilibrium')
('8236', 'Correspondence problem')
('8245', 'Coset leader')
('8258', 'CouchDB')
('8268', 'Count Key Data')
('8279', 'Counterpropagation network')
('8293', 'Coupling (computer programming)')
('8304', 'Covariance matrix')
('8311', 'Cover tree')
('8313', 'Covering graph')
('8326', 'CozyCot')
('8331', 'Cpuinfo falsification')
('8338', 'Craft access system')
('8347', 'Cranfield Experiments')
('8364', 'Cray C90')
('8372', 'Cray Operating System')
('8388', 'Cray XT5')
('8396', 'CreateDebate')
('8402', 'Creative Commons jurisdiction ports')
('8403', 'Creative Commons licenses')
('8406', 'Creative Writer')
('8415', 'Creatures 3')
('8421', 'Credit (creative arts)')
('8430', 'Crestron Electronics')
('8432', 'Crew scheduling')
('8441', 'Crimeware')
('8448', 'Criteria of truth')
('8450', 'Critical Internet infrastructure')
('8484', 'Criticism of college and university rankings (North America)')
('8489', 'Criticism of science')
('8514', 'Cromemco Dazzler')
('8516', 'Croquet Project')
('8521', 'Cross-cutting concern')
('8534', 'Cross-site scripting')
('8537', 'Cross-zone scripting')
('8538', 'Cross.tv')
('8552', 'Crossbar switch')
('8553', 'Crossdisciplinarity')
('8557', 'Crossover effects')
('8566', 'Crowds')
('8571', 'Crucible (software)')
('8574', 'Cruise Critic')
('8588', 'Cryptanalysis of the Enigma')
('8589', 'Cryptanalytic computer')
('8598', 'CryptoBuddy')
('8599', 'CryptoGraf')
('8606', 'Cryptochannel')
('8608', 'Cryptographic Message Syntax')
('8615', 'Cryptographic engineering')
('8627', 'Cryptography in Japan')
('8628', 'Cryptography laws in different nations')
('8643', 'Cryptosystem')
('8680', 'Cult-Proofing Your Kids')
('8702', 'Current Contents')
('8719', 'Curtain wall')
('8741', 'Customer Service Excellence')
('8756', 'Cutaway drawing')
('8766', 'Cwm Silicon')
('8779', 'Cyber Secure Institute')
('8782', 'Cyber Snipa')
('8790', 'Cyberarts')
('8798', 'Cyberjack')
('8800', 'Cybermentors')
('8803', 'Cybernetic revolt')
('8817', 'Cyborgs in fiction')
('8822', 'Cycle decomposition (graph theory)')
('8830', 'Cycles per instruction')
('8832', 'Cyclic executive')
('8843', 'Cyclone (programming language)')
('8846', 'Cydia (application)')
('8850', 'Cygwin')
('8851', 'Cylinder-head-sector')
('8857', 'Cylindrification')
('8862', 'Cynthia Breazeal')
('8867', 'Cyril Cleverdon')
('8905', 'DADiSP')
('8920', 'DASK')
('8925', 'DAVID (bioinformatics tool)')
('8934', 'DBMail IMAP and POP3 server')
('8943', 'DCEThreads')
('8949', 'DDObjects')
('8954', 'DECAF')
('8955', 'DECIM')
('8956', 'DECIPHER')
('8971', 'DELOS')
('8993', 'DHTMLEdit')
('8998', 'DIBOL')
('8999', 'DICING')
('9009', 'DISCUS')
('9014', 'DJ Tutor')
('9023', 'DMExpress')
('9027', 'DMZ (computing)')
('9030', 'DNA Data Bank of Japan')
('9036', 'DNA microarray experiment')
('9039', 'DNET')
('9042', 'DNSCurve')
('9046', 'DNS hijacking')
('9055', 'DOD Information Assurance Certification and Accreditation Program')
('9078', 'DRDA')
('9105', 'DVD Player (Windows)')
('9119', 'DYNAMO (programming language)')
('9124', 'Da Vinci Systems')
('9127', 'Daemon (computer software)')
('9136', 'Daily build')
('9138', 'Dailymotion')
('9141', 'Daisy chain (information technology)')
('9143', 'Damage tolerance')
('9145', 'Damian Conway')
('9157', 'Dan Geer')
('9159', 'Dan Hirschberg')
('9172', 'Dance notation')
('9192', 'Daniel Gajski')
('9194', 'Daniel Goossens')
('9207', 'Daniel Robbins')
('9210', 'Daniel Spielman')
('9218', 'DansGuardian')
('9222', 'Daplex')
('9224', 'DarkBASIC')
('9235', 'Darkness')
('9237', 'Darnell Wilson')
('9243', 'Darwin (ADL)')
('9244', 'Darwin (operating system)')
('9251', 'Darwin and His Great Discovery')
('9265', 'Data-directed programming')
('9271', 'DataAdapter')
('9275', 'DataEase')
('9321', 'Data Transformation Services')
('9325', 'Data Web')
('9328', 'Data access layer')
('9332', 'Data analysis')
('9338', 'Data bank')
('9343', 'Data center')
('9348', 'Data cleansing')
('9351', 'Data compression')
('9355', 'Data cube')
('9360', 'Data differencing')
('9363', 'Data dredging')
('9364', 'Data drilling')
('9369', 'Data exchange')
('9371', 'Data extraction')
('9376', 'Data governance')
('9390', 'Data masking')
('9393', 'Data mining agent')
('9402', 'Data pimping')
('9404', 'Data processing system')
('9438', 'Data validation')
('9441', 'Data visualization')
('9452', 'Database Source Name')
('9465', 'Database forensics')
('9466', 'Database integrity')
('9474', 'Database publishing')
('9475', 'Database schema')
('9493', 'Datagram Transport Layer Security')
('9501', 'Dataprobe')
('9518', 'Dave Gelperin')
('9520', 'Dave Haynie')
('9529', 'David A. Thomas (software developer)')
('9542', 'David C. Evans')
('9548', 'David Crane (programmer)')
('9552', 'David De Roure')
('9554', 'David Dowty')
('9558', 'David G. Lowe')
('9582', 'David Levy (chess player)')
('9587', 'David M. Young, Jr.')
('9589', 'David Maier')
('9591', 'David Marr (neuroscientist)')
('9607', 'David Park (computer scientist)')
('9634', 'Dawning Information Industry')
('9640', 'Db4o')
('9645', 'DbXpert')
('9648', 'Dbfree')
('9657', 'DeCODE genetics')
('9662', 'DeZign for Databases')
('9668', 'De Bruijn torus')
('9669', 'De Finetti diagram')
('9675', 'De architectura')
('9694', 'Debajyoti Mukhopadhyay')
('9740', 'Decision rules')
('9751', 'Declarative programming')
('9767', 'Dedekind number')
('9783', 'Deep homology')
('9798', 'Defcon Robot Contest')
('9814', 'Definable real number')
('9820', 'Definition of man')
('9830', 'Deformation retract')
('9862', 'Delcam')
('9895', 'Delta lemma')
('9904', 'Deltar')
('9907', 'Deluxe Music Construction Set')
('9914', 'Demand optimization')
('9916', 'Demarcation point')
('9920', 'DemoLinux')
('9923', 'Demographic and Health Surveys')
('9927', 'Demon Roach Underground')
('9935', 'Denavit-Hartenberg Parameters')
('9963', 'Dental Laboratories Association')
('9978', 'Department of the Army Seal and Emblem')
('9983', 'Dependency (UML)')
('9991', 'Dependent ML')
('9995', 'Dephasing')
('10009', 'Derek Hitchins')
('10025', 'Description logic')
('10027', 'Description of a Career')
('10038', 'Design By Numbers (programming language)')
('10040', 'Design Patterns')
('10046', 'Design computing')
('10052', 'Design pattern')
('10055', 'Design predicates')
('10056', 'Design rationale')
('10057', 'Design review (US Government)')
('10061', 'Designbox')
('10067', 'Desk Accessory')
('10071', 'DesktopX')
('10075', 'Desktop Linux')
('10076', 'Desktop Outsourcing')
('10079', 'Desktop customization')
('10101', 'Deterministic context-free grammar')
('10102', 'Deterministic context-free language')
('10110', 'Deterministic system')
('10114', 'Deuterium arc lamp')
('10128', 'Devgems Data Modeler')
('10133', 'Device Bay')
('10135', 'Device Management Forum')
('10141', 'Device ecology')
('10143', 'Device independent')
('10145', 'Device under test')
('10151', 'DexDrive')
('10164', 'Diabetes Hands Foundation')
('10181', 'Dial box')
('10206', 'Diamondback (comics)')
('10229', 'Dictation (exercise)')
('10238', 'Didactic organisation')
('10241', 'Die attachment')
('10250', 'Dietmar Saupe')
('10252', 'DiffMerge')
('10254', 'Difference in differences')
('10276', 'Differential inclusion')
('10277', 'Differential inheritance')
('10285', 'Differential variational inequality')
('10295', 'Diffuse element method')
('10297', 'Diffuse sky radiation')
('10303', 'Digest access authentication')
('10305', 'Digg')
('10309', 'DigiGuide')
('10325', 'Digital Access Carrier System')
('10331', 'Digital Author Identification')
('10335', 'Digital Commons')
('10340', 'Digital Dark Age')
('10341', 'Digital darkroom')
('10345', 'Digital Differential Analyzer (graphics algorithm)')
('10349', 'Digital Economy Act 2010')
('10351', 'Digital Enhanced Cordless Telecommunications')
('10352', 'Digital Enterprise Research Institute')
('10354', 'Digital Equipment Corporation')
('10361', 'Digital Humanities conference')
('10362', 'Digital Hybrid Process')
('10369', 'Digital Library of Mathematical Functions')
('10388', 'Digital Project')
('10393', 'Digital Signature Algorithm')
('10402', 'Digital Watermarking Alliance')
('10418', 'Digital delay line')
('10428', 'Digital fabricator')
('10446', 'Digital mammography')
('10480', 'Digital signal')
('10482', 'Digital signal processing')
('10491', 'Digital transformation')
('10495', 'Digital watermarking')
('10516', 'Dimensional metrology')
('10526', 'Dining cryptographers protocol')
('10532', 'Diode logic')
('10537', 'Diploma in Computer Science')
('10539', 'Diplomatic Wireless Service')
('10543', 'DirSync Pro')
('10544', 'Dirac (program)')
('10552', 'DirectCompute')
('10561', 'DirectSound')
('10562', 'DirectX')
('10566', 'DirectX plugin')
('10568', 'Direct Anonymous Attestation')
('10576', 'Direct binding')
('10585', 'Direct method in the calculus of variations')
('10595', 'Direct speech')
('10619', 'Dirichlet kernel')
('10623', 'Dis virtual machine')
('10659', 'Discrete element method')
('10671', 'Discrete wavelet transform')
('10672', 'Discretionary access control')
('10684', 'Disintermediation')
('10692', 'DiskXtender')
('10708', 'Disk mirroring')
('10709', 'Disk operating system')
('10710', 'Disk partitioning')
('10711', 'Disk quota')
('10726', 'Display list')
('10733', 'Dissipation factor')
('10751', 'Distortion problem')
('10767', 'Distributed Objects Everywhere')
('10769', 'Distributed Proofreaders')
('10772', 'Distributed System Security Architecture')
('10789', 'Distributed database management system')
('10797', 'Distributed lock manager')
('10801', 'Distributed network block device')
('10812', 'Distributed transaction')
('10821', 'Distributive homomorphism')
('10833', 'Divide-and-conquer eigenvalue algorithm')
('10844', 'Division by zero')
('10869', 'Doctor Eggman')
('10870', 'Doctor shopping')
('10871', 'Doctrine (PHP)')
('10877', 'Document Object Model')
('10882', 'Document classification')
('10903', 'Dollar auction')
('10912', 'Domain/key normal form')
('10933', 'Dominator (graph theory)')
('10937', 'Domino logic')
('10941', 'Don Cuco El Guapo')
('10943', 'Don Lancaster')
('10950', 'Donald A. MacKenzie')
('10953', 'Donald Becker')
('10961', 'Donald Michie')
('10971', 'Donna Auguste')
('10974', 'Donut Peering Model')
('10990', 'Dos Navigator')
('11006', 'Double-contrast barium enema')
('11020', 'Double dispatch')
('11025', 'Double mass analysis')
('11072', 'DragonRealms')
('11076', 'Dragon NaturallySpeaking')
('11082', 'Draw a Secret')
('11091', 'Dreamwidth')
('11101', 'Drive Setup')
('11102', 'Drive bay')
('11107', 'DroidIn')
('11123', 'Drugfire')
('11128', 'Druva')
('11131', 'Dry loop')
('11135', 'Dtlogin')
('11137', 'Dual-channel architecture')
('11144', 'Dual Sector model')
('11163', 'Dubitative mood')
('11172', 'DuinOS')
('11184', 'Dunia Engine')
('11188', 'Duplexer')
('11199', 'Dust-Off')
('11201', 'Dustbot')
('11205', 'Dvorak Awards')
('11223', 'Dynamic Kernel Module Support')
('11225', 'Dynamic Language Runtime')
('11226', 'Dynamic Logical Partitioning')
('11233', 'Dynamic SSL')
('11245', 'Dynamic device mapping')
('11246', 'Dynamic enterprise')
('11263', 'Dynamic perfect hashing')
('11267', 'Dynamic programming')
('11272', 'Dynamic simulation')
('11278', 'Dynamic window approach')
('11279', 'Dynamic window manager')
('11285', 'Dynamization')
('11320', 'E-mail injection')
('11322', 'E-on Vue')
('11331', 'E. Allen Emerson')
('11332', 'E. G. Coffman')
('11355', 'ECB AT91')
('11365', 'ECML PKDD')
('11366', 'ECMWF re-analysis')
('11376', 'ECos')
('11380', 'EDGAR')
('11383', 'EDOS')
('11384', 'EDRAM')
('11396', 'EFIKA')
('11418', 'EKA2')
('11428', 'ELearnSecurity Certified Professional Penetration Tester')
('11431', 'EMBRACE')
('11433', 'EMC Aware Programming')
('11438', 'EMILE')
('11448', 'EMix')
('11460', 'EOTD')
('11469', 'EPROM')
('11490', 'ESC/Java')
('11498', 'ESET NOD32')
('11503', 'ESPRID')
('11505', 'ESSH Client')
('11513', 'ETA10')
('11519', 'ETM (Economic Traffic Management)')
('11522', 'EURASIP Journal on Advances in Signal Processing')
('11523', 'EUREKA Prometheus Project')
('11528', 'EVA (benchmark)')
('11542', 'EXchangeable Faceted Metadata Language')
('11591', 'EasyEclipse')
('11592', 'EasyInstall')
('11604', 'Eats Media, LLC')
('11605', 'EbXML')
('11622', 'Eclipse (Pink Floyd song)')
('11633', 'EcoCyc')
('11640', 'EconMult')
('11659', 'Ecto (software)')
('11667', 'Edgar F. Codd')
('11669', 'Edge-graceful labeling')
('11678', 'Edge cycle cover')
('11696', 'Edinburgh Multiple Access System')
('11702', 'Editorial calendar')
('11706', 'Edon80')
('11714', 'Educational assessment')
('11722', 'Edward H. Shortliffe')
('11724', 'Edward Kofler')
('11729', 'Edward Tsang')
('11736', 'Edwin Smith Papyrus')
('11737', 'Edwin W. Smith')
('11738', 'Edwinxp')
('11740', 'Efax (software)')
('11750', 'Effective method')
('11751', 'Effective transmission rate')
('11764', 'Egomotion')
('11767', 'Egyptian National Library and Archives')
('11777', 'Eigenfunction')
('11784', 'Eight Little Piggies')
('11802', 'Elapsed real time')
('11812', 'Elastography')
('11819', 'ElcomSoft')
('11820', 'Eldad Eilam')
('11824', 'Electracy')
('11828', 'Electric Sheep')
('11844', 'Electro Selective Pattern')
('11845', 'Electro stimulation')
('11846', 'Electroadhesion')
('11884', 'Electronic Letters on Computer Vision and Image Analysis')
('11885', 'Electronic Notes in Theoretical Computer Science')
('11891', 'Electronic Resource Preservation and Access Network')
('11896', 'Electronic amplifier')
('11902', 'Electronic commerce')
('11912', 'Electronic filter')
('11937', 'Elektra Initiative')
('11955', 'Elfwood')
('11958', 'Eli Upfal')
('11959', 'Elias Bassalygo bound')
('11962', 'Elias delta coding')
('11976', 'Elkies trinomial curves')
('11977', 'Elkonin boxes')
('11988', 'Elliptic curve primality proving')
('11989', 'Elliptic curve primality testing')
('11992', 'Elmer FEM solver')
('11994', 'Elonex')
('11995', 'Elongatedness')
('12000', 'Elwyn Berlekamp')
('12001', 'Elxsi')
('12005', 'Emacs Speaks Statistics')
('12019', 'Embedded SQL')
('12023', 'Embedded middleware')
('12030', 'Ember (company)')
('12043', 'Emergency ultrasound')
('12046', 'Emergent algorithm')
('12047', 'Emergent democracy')
('12085', 'EnABLE software')
('12086', 'EnCase')
('12115', 'Encyclopedia of Life Sciences')
('12122', 'End extension')
('12128', 'Endian Firewall')
('12131', 'Endophora')
('12135', 'Energetic space')
('12155', 'Engel expansion')
('12161', 'Engineering Council of South Africa')
('12165', 'Engineering and Physical Sciences Research Council')
('12168', 'Engineering sample')
('12177', 'English and Welsh')
('12181', 'English script (calligraphy)')
('12186', 'Enhanced GPS')
('12192', 'Enigform')
('12202', 'Enrolled Actuary')
('12227', 'Enterprise Information Integration')
('12234', 'Enterprise Privacy Authorization Language')
('12235', 'Enterprise Sign On Engine')
('12250', 'Enterprise information access')
('12252', 'Enterprise information security architecture')
('12255', 'Enterprise manufacturing intelligence')
('12257', 'Enterprise modelling')
('12258', 'Enterprise portal')
('12266', 'Enterprise storage')
('12275', 'Entitative graph')
('12277', 'Entity integrity')
('12290', 'Entropy estimation')
('12291', 'Entropy exchange')
('12304', 'Enumerative definition')
('12319', 'Environmental determinism')
('12320', 'Environmental enrichment (neural)')
('12342', 'Epictetus Database Client')
('12349', 'Episode Engine')
('12352', 'Epitechnology')
('12355', 'Epitome (image processing)')
('12356', 'Epoch (reference date)')
('12357', 'Epoch Javascript Calendar')
('12362', 'Epsilon-equilibrium')
('12370', 'Equal Justice for Troops blog')
('12375', 'Equatorium')
('12384', 'Equilibrium selection')
('12397', 'Ergodic theory')
('12406', 'Eric Brewer (scientist)')
('12407', 'Eric Brill')
('12408', 'Eric Corley')
('12413', 'Eric Haines')
('12415', 'Eric Lengyel')
('12418', 'Eric Python IDE')
('12425', 'Erik Laykin')
('12430', 'Erkki Oja')
('12440', 'Ernst Tugendhat')
('12466', 'Ervand Kogbetliantz')
('12468', 'Es (operating system)')
('12481', 'Esoteric programming language')
('12487', 'Essbase')
('12504', 'Eternal statement')
('12514', 'Ethernet hub')
('12517', 'Ethernet over twisted pair')
('12538', 'Eugen Pavel')
('12544', 'Eugene Nalimov')
('12560', 'Eupitheciini')
('12569', 'Eurocarbdb')
('12574', 'European Association of Science Editors')
('12576', 'European Chemicals Bureau')
('12581', 'European Conference on Computer Vision')
('12587', 'European Coordinating Committee for Artificial Intelligence')
('12597', 'European Land-Robot Trial')
('12604', 'European Programme for Critical Infrastructure Protection')
('12608', 'European Satellite Services Provider')
('12617', 'European Table Tennis Union')
('12620', 'European Union Microsoft competition case')
('12621', 'European Union Public Licence')
('12644', 'Event (UML)')
('12646', 'Event (synchronization primitive)')
('12659', 'Event generator')
('12660', 'Event loop')
('12676', 'Everyday Explorers')
('12677', 'Everyman kernel')
('12684', 'Evidential reasoning approach')
('12692', 'Evolution Robotics')
('12713', 'Evolutionary guidance media')
('12718', 'Evolutionary programming')
('12730', 'Ex.plode.us')
('12733', 'ExSpecT')
('12738', 'Exabyte')
('12744', 'Example Pictor Encoder')
('12747', 'Examples of SHA digests')
('12758', 'Excess-3')
('12762', 'Exchangeable image file format')
('12764', 'Exclusion principle (philosophy)')
('12771', 'Executable Architecture')
('12777', 'Executive information system')
('12790', 'Exit procedure')
('12792', 'Exmouth Community College')
('12798', 'Exophora')
('12807', 'Expansive')
('12811', 'Expectation propagation')
('12813', 'Expected utility hypothesis')
('12822', 'Experimental Psychology Society')
('12842', 'Explained sum of squares')
('12847', 'Explanatory gap')
('12852', 'Explicit multi-threading')
('12853', 'Explicit parallelism')
('12855', 'Explicitly parallel instruction computing')
('12860', 'Exploratory search')
('12861', 'Exploratory testing')
('12868', 'Exponential backoff')
('12882', 'Exposure action value')
('12883', 'Expr')
('12890', 'Expression index')
('12893', 'Expressive power')
('12898', 'ExtenXLS')
('12901', 'Extended Affix Grammar')
('12903', 'Extended Enterprise')
('12918', 'Extended Window Manager Hints')
('12923', 'Extended finite element method')
('12931', 'Extensibility')
('12953', 'Extensive-form game')
('12956', 'External (mathematics)')
('12957', 'External Bus Interface')
('12967', 'Extraneous cognitive load')
('12968', 'Extranet')
('12981', 'Extreme Programming')
('12982', 'Extreme Transaction Processing')
('13003', 'F00f')
('13004', 'F2c')
('13012', 'FARGO (programming language)')
('13017', 'FASMI')
('13021', 'FASTOPEN')
('13024', 'FAUST (programming language)')
('13031', 'FBX')
('13033', 'FCMOV')
('13078', 'FISH (cipher)')
('13079', 'FISINT')
('13102', 'FMI/OS')
('13109', 'FOAF (software)')
('13121', 'FOSD Mixin Layers')
('13129', 'FP (programming language)')
('13143', 'FSEvents')
('13152', 'FTP bounce attack')
('13153', 'FTP servlet')
('13164', 'FUSE Message Broker')
('13165', 'FUSE Services Framework')
('13167', 'FWTools')
('13171', 'FXG')
('13175', 'F Sharp (programming language)')
('13181', 'Fabrik (software)')
('13185', 'FaceKoo')
('13189', 'Face Recognition Grand Challenge')
('13209', 'Facial expression capture')
('13220', 'Factorial experiment')
('13221', 'Factorial number system')
('13223', 'Factorization of polynomials')
('13257', 'FairPlay')
('13268', 'Fallacies of Distributed Computing')
('13273', 'False sharing')
('13311', 'FastTrack')
('13313', 'FastTracker 2')
('13333', 'Fastra II')
('13335', 'Fat client')
('13346', 'Fault Tolerant Ethernet')
('13351', 'Fauna Entomologica Scandinavica')
('13355', 'Favourite Website Awards')
('13362', 'Fearnhill School')
('13367', 'Feature (computer vision)')
('13368', 'Feature Driven Development')
('13375', 'Feature extraction')
('13380', 'Feature selection')
('13388', 'Federal Networking Council')
('13391', 'Federated Computing Research Conference')
('13393', 'Federated Naming Service')
('13399', 'Federation (information technology)')
('13417', 'Feedforward neural network')
('13420', 'Feigenbaum constants')
('13427', 'Feminist theory in composition studies')
('13432', 'Feral cat')
('13450', 'Ferranti Orion')
('13452', 'Ferranti Sirius')
('13453', 'Ferret Data Visualization and Analysis')
('13462', 'Fg (Unix)')
('13468', 'Fiber (mathematics)')
('13479', 'Fibre Channel over Ethernet')
('13487', 'Fictional universe')
('13493', 'FidoNet')
('13498', 'Field Replaceable Unit')
('13526', 'File binder')
('13535', 'File shadowing')
('13538', 'File synchronization')
('13551', 'Filesystem permissions')
('13555', 'Fill device')
('13559', 'Filmation engine')
('13560', 'Filmweb')
('13561', 'Filn')
('13571', 'Filtration (mathematics)')
('13575', 'Final case')
('13598', 'Fingerprint')
('13603', 'FinisTerrae')
('13605', 'Finitary relation')
('13613', 'Finite element machine')
('13619', 'Finite pointset method')
('13645', 'Firestarter (firewall)')
('13658', 'FirstPage')
('13666', 'First Year Composition')
('13670', 'First pass yield')
('13681', 'Fit/Gap Analysis')
('13687', 'Fitness function')
('13688', 'Fitness landscape')
('13693', 'Five-minute rule')
('13704', 'Fixed effects model')
('13718', 'Fixstars Solutions')
('13730', 'Flame (robot)')
('13737', 'FlashPix')
('13747', 'Flashsort')
('13752', 'Flat file database')
('13754', 'Flat list')
('13758', 'Flattr')
('13760', 'Flaw hypothesis methodology')
('13762', 'Fleet Radio Unit')
('13763', 'Fleet Street Phantom')
('13769', 'FlexRAID')
('13778', 'Flexible Direct Memory Access')
('13781', 'Flexible rake receiver')
('13786', 'Flickchart')
('13802', 'Floating city (science fiction)')
('13806', 'FlockDB')
('13823', 'Floquet theory')
('13833', 'Florida Photographic Collection')
('13839', 'Flow (software)')
('13841', 'Flow Java')
('13844', 'Flow network')
('13850', 'Fluency Voice Technology')
('13857', 'Fluid construction grammar')
('13864', 'Flux qubit')
('13865', 'Fly-by-wire')
('13871', 'Flying Logic')
('13876', 'Flyspray (bug tracking software)')
('13897', 'Folding@home')
('13911', 'Food safety')
('13912', 'Food sampling')
('13938', 'Foreground-background')
('13942', 'Foreign function interface')
('13947', 'Forensic corporate collections')
('13954', 'Fork-exec')
('13966', 'Form taxon (botany)')
('14005', 'Fortismere School')
('14023', 'Forwarding equivalence class')
('14031', 'Foton-M')
('14035', 'Foundation for Information Policy Research')
('14037', 'Foundational Model of Anatomy')
('14040', 'Foundations of Economic Analysis')
('14046', 'FourTrack')
('14054', 'Fourier shell correlation')
('14066', 'Fractal')
('14067', 'Fractal-generating software')
('14077', 'Fractional calculus')
('14083', 'FragMOTION')
('14085', 'Fragile binary interface problem')
('14092', 'Fragmented distribution attack')
('14096', 'Frame (artificial intelligence)')
('14100', 'Frame injection')
('14110', 'Framework Class Library')
('14119', 'Francis Birch (cryptographer)')
('14129', 'Frank Pasquill')
('14143', 'Franz Joseph Gall')
('14155', 'Fred Fish')
('14162', 'Frederica Darema')
('14166', 'Frederick Reines')
('14169', 'Fredkin gate')
('14174', 'FreeBSD')
('14191', 'FreeMat')
('14210', 'Free Software Foundation')
('14216', 'Free independence')
('14227', 'Free software movement')
('14235', 'Freedom of speech')
('14263', 'Fresh (IDE)')
('14264', 'Freshman studies')
('14265', 'Freshwater Biological Association')
('14281', 'Friendly number')
('14302', 'Frontal solver')
('14303', 'Frontier Molecular Orbital Theory')
('14324', 'Fujitsu iPAD')
('14326', 'Full-frame digital SLR')
('14327', 'FullPaint')
('14334', 'Full employment theorem')
('14338', 'Full table scan')
('14348', 'Fumifugium')
('14354', 'Function-level programming')
('14357', 'Function approximation')
('14375', 'Functional data analysis')
('14379', 'Functional discourse grammar')
('14385', 'Functional logic (business logic) abstraction')
('14391', 'Functional specification')
('14402', 'Fundamental modeling concepts')
('14406', 'Fundamental theorem of algebra')
('14408', 'Fundamental theorem of software engineering')
('14419', 'Furuta pendulum')
('14421', 'Fuser (Unix)')
('14426', 'Fusionviewer')
('14437', 'Future of Identity in the Information Society')
('14440', 'Futurebus')
('14441', 'Futures Of American Studies')
('14446', 'Fuze Keeping Clock')
('14447', 'Fuzz testing')
('14450', 'Fuzzy Sets and Systems')
('14454', 'Fuzzy cognitive map')
('14459', 'Fuzzy transportation')
('14473', 'G.ho.st')
('14477', 'GADGET')
('14483', 'GBDE')
('14491', 'GDDR')
('14494', 'GE-200 series')
('14509', 'GEO-LEO')
('14513', 'GEOS (8-bit operating system)')
('14529', 'GIMP')
('14538', 'GIS and aquatic science')
('14555', 'GLite-AMGA')
('14565', 'GNAT')
('14568', 'GNAT Programming Studio')
('14576', 'GNSS positioning calculation')
('14585', 'GNU Coding Standards')
('14587', 'GNU Compiler Collection')
('14597', 'GNU Lesser General Public License')
('14605', 'GNU Octave')
('14607', 'GNU Pascal')
('14621', 'GNUstepWeb')
('14631', 'GOLD (parser)')
('14633', 'GOR method')
('14635', 'GOSUB')
('14640', 'GPM (software)')
('14644', 'GPS augmentation')
('14653', 'GQM')
('14670', 'GSI3D')
('14680', 'GTK (API)')
('14682', 'GUI software testing')
('14692', 'Gaia Online')
('14695', 'Gain scheduling')
('14702', 'Galahad library')
('14706', 'Galaxy Zoo')
('14718', 'Gallium3D')
('14722', 'Galvanic isolation')
('14727', 'GameFAQs')
('14730', 'GameSWF')
('14731', 'GameSalad')
('14736', 'Game Center')
('14753', 'Game system clone')
('14766', 'Gamin')
('14773', 'Gang scheduling')
